ordem;url;titulo;nota;status;json;pdf
"174";"https://www.novamarilandia.mt.gov.br/";"Página Inicial - Prefeitura de Nova Marilândia - MT";"8.2";"Concluída";"amaweb_www.novamarilandia.mt.gov.br_174.json";"amaweb_www.novamarilandia.mt.gov.br_174.pdf"
"175";"https://novamarilandia.mt.leg.br/";"Câmara Municipal de Nova Marilândia";"5.6";"Concluída";"amaweb_novamarilandia.mt.leg.br_175.json";"amaweb_novamarilandia.mt.leg.br_175.pdf"
"176";"https://www.novamaringa.mt.gov.br/";"Página Inicial - Prefeitura de Nova Maringá - MT";"8.0";"Concluída";"amaweb_www.novamaringa.mt.gov.br_176.json";"amaweb_www.novamaringa.mt.gov.br_176.pdf"
"177";"https://www.novamaringa.mt.leg.br/";"Câmara Municipal de Nova Maringá";"8.0";"Concluída";"amaweb_www.novamaringa.mt.leg.br_177.json";"amaweb_www.novamaringa.mt.leg.br_177.pdf"
"178";"https://www.novamonteverde.mt.gov.br/";"Página Inicial - Prefeitura Municipal de Nova Monte Verde";"8.1";"Concluída";"amaweb_www.novamonteverde.mt.gov.br_178.json";"amaweb_www.novamonteverde.mt.gov.br_178.pdf"
"179";"https://www.novamonteverde.mt.leg.br/";"Página Inicial — Câmara Municipal";"7.6";"Concluída";"amaweb_www.novamonteverde.mt.leg.br_179.json";"amaweb_www.novamonteverde.mt.leg.br_179.pdf"
"180";"https://www.novamutum.mt.gov.br/home";"Prefeitura Municipal de Nova Mutum";"6.8";"Concluída";"amaweb_www.novamutum.mt.gov.br_180.json";"amaweb_www.novamutum.mt.gov.br_180.pdf"
"181";"https://novamutum.mt.leg.br/#/home";"Câmara de Vereadores de Nova Mutum";"7.4";"Concluída";"amaweb_novamutum.mt.leg.br_181.json";"amaweb_novamutum.mt.leg.br_181.pdf"
"182";"https://www.novanazare.mt.gov.br/";"Página Inicial - Prefeitura Municipal de Nova Nazaré";"8.7";"Concluída";"amaweb_www.novanazare.mt.gov.br_182.json";"amaweb_www.novanazare.mt.gov.br_182.pdf"
"183";"https://www.novanazare.mt.leg.br/";"Câmara Municipal de Nova Nazaré";"7.8";"Concluída";"amaweb_www.novanazare.mt.leg.br_183.json";"amaweb_www.novanazare.mt.leg.br_183.pdf"
"184";"https://www.novaolimpia.mt.gov.br/";"Página Inicial - Prefeitura de Nova Olímpia - MT";"8.1";"Concluída";"amaweb_www.novaolimpia.mt.gov.br_184.json";"amaweb_www.novaolimpia.mt.gov.br_184.pdf"
"185";"https://camaranovaolimpia.mt.gov.br/";"Câmara Municipal de Nova Olímpia - MT | Gestão 2025-2026";"7.5";"Concluída";"amaweb_camaranovaolimpia.mt.gov.br_185.json";"amaweb_camaranovaolimpia.mt.gov.br_185.pdf"
"186";"https://www.novasantahelena.mt.gov.br/";"Página Inicial - Prefeitura de Nova Santa Helena Nova Santa Helena - MT";"8.9";"Concluída";"amaweb_www.novasantahelena.mt.gov.br_186.json";"amaweb_www.novasantahelena.mt.gov.br_186.pdf"
"187";"https://www.novasantahelena.mt.leg.br/";"Página Inicial — CÂMARA MUNICIPAL DE NOVA SANTA HELENA - MT";"7.8";"Concluída";"amaweb_www.novasantahelena.mt.leg.br_187.json";"amaweb_www.novasantahelena.mt.leg.br_187.pdf"
"188";"https://www.novaubirata.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"189";"https://www.novaubirata.mt.leg.br/#/home";"Câmara de Vereadores de Nova Ubiratã";"7.0";"Concluída";"amaweb_www.novaubirata.mt.leg.br_189.json";"amaweb_www.novaubirata.mt.leg.br_189.pdf"
"190";"https://www.novaxavantina.mt.gov.br/";"Página Inicial - Prefeitura de Nova Xavantina - MT";"7.4";"Concluída";"amaweb_www.novaxavantina.mt.gov.br_190.json";"amaweb_www.novaxavantina.mt.gov.br_190.pdf"
"191";"https://www.novaxavantina.mt.leg.br/";"Câmara Municipal de Nova Xavantina";"8.0";"Concluída";"amaweb_www.novaxavantina.mt.leg.br_191.json";"amaweb_www.novaxavantina.mt.leg.br_191.pdf"
"192";"https://www.novohorizontedonorte.mt.gov.br/transparencia";"Portal da Transparência";"7.2";"Concluída";"amaweb_www.novohorizontedonorte.mt.gov.br_192.json";"amaweb_www.novohorizontedonorte.mt.gov.br_192.pdf"
"193";"https://www.camaranovohorizontedonorte.mt.gov.br/";"Câmara Municipal de Novo Horizonte do Norte";"7.7";"Concluída";"amaweb_www.camaranovohorizontedonorte.mt.gov.br_193.json";"amaweb_www.camaranovohorizontedonorte.mt.gov.br_193.pdf"
"194";"https://www.novomundo.mt.leg.br/";"Câmara Municipal de Novo Mundo";"7.4";"Concluída";"amaweb_www.novomundo.mt.leg.br_194.json";"amaweb_www.novomundo.mt.leg.br_194.pdf"
"195";"https://www.novosantoantonio.mt.gov.br/";"Página Principal - Prefeitura de Novo Santo Antônio";"8.4";"Concluída";"amaweb_www.novosantoantonio.mt.gov.br_195.json";"amaweb_www.novosantoantonio.mt.gov.br_195.pdf"
"196";"https://novosantoantonio.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"197";"https://www.novosaojoaquim.mt.gov.br/";"Página Inicial - Prefeitura Municipal de Novo São Joaquim | Gestão 2025-2028";"7.6";"Concluída";"amaweb_www.novosaojoaquim.mt.gov.br_197.json";"amaweb_www.novosaojoaquim.mt.gov.br_197.pdf"
"198";"https://camaranovosaojoaquim.mt.gov.br/";"Página Inicial - Câmara Municipal de Novo São Joaquim | Gestão 2025-2026";"7.4";"Concluída";"amaweb_camaranovosaojoaquim.mt.gov.br_198.json";"amaweb_camaranovosaojoaquim.mt.gov.br_198.pdf"
"199";"https://www.paranatinga.mt.gov.br/";"Página Inicial - Prefeitura Municipal de Paranatinga - MT";"7.9";"Concluída";"amaweb_www.paranatinga.mt.gov.br_199.json";"amaweb_www.paranatinga.mt.gov.br_199.pdf"
"200";"https://www.paranatinga.mt.leg.br/";"Página Inicial — Câmara Municipal de Paranatinga";"7.7";"Concluída";"amaweb_www.paranatinga.mt.leg.br_200.json";"amaweb_www.paranatinga.mt.leg.br_200.pdf"
"201";"https://www.paranaita.mt.gov.br/";"Página Principal - Prefeitura de Paranaíta";"7.1";"Concluída";"amaweb_www.paranaita.mt.gov.br_201.json";"amaweb_www.paranaita.mt.gov.br_201.pdf"
